Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ADA,adenosine deaminase,100,,20,20q13.12,P00813,608958,The encoded protein catalyzes the hydrolysis of adenosine to inosine.,Genetic Association,Several studies have found a genetic association between the ADA gene and autism. Positive associations have been found in Italian and North American population samples.,7,2,"11121182,17340203",0,,11354825,4117384,16258000,"28714951,31398340"
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,170692,"ADAMTS21, KNO2, MMCAT",16,16q23.1,Q8TE60,607512,"This gene encodes a member of the ADAMTS (a disintegrin and metalloproteinase with thrombospondin motifs) protein family. ADAMTS family members share several distinct protein modules, including a propeptide region, a metalloproteinase domain, a disintegrin-like domain, and a thrombospondin type 1 (TS) motif. Individual members of this family differ in the number of C-terminal TS motifs, and some have unique C-terminal domains. The encoded preproprotein is proteolytically processed to generate the mature protein, which may regulate hemostatic balance and function as a tumor suppressor.  Homozygous mutations in this gene are responsible for microcornea with myopic chorioretinal atrophy and telecanthus (OMIM 615458).",Rare single gene variant,"A homozygous missense variant in the ADAMTS18 gene (c.3235T>C; p.Cys1079Arg) was identified in a 30-year-old male patient with severe early-onset retinal dystrophy and a diagnosis of autism; his parents and unaffected brother were heterozygous for the variant (Peluso et al., 2013).  Additional studies in this report determined that human ADAMTS18 containing the p.Cys1079Arg misssense variant failed to rescue aberrant CNS phenotype of ADAMTS18 knockout zebrafish, compared to wild-type human ADAMTS18.",5,0,,0,,23356391,,,"23818446,28392909,29346770,31398340"
ADARB1,"Adenosine deaminase, RNA-specific, B1",104,"ADAR2, DRABA2, DRADA2, RED1",21,21q22.3,P78563,601218,Editing of the messenger RNAs for glutamate receptor (GluR) subunits by site-selective adenosine deamination. Edits both the GluR-B Q/R and R/G sites efficiently but converts the adenosine in hotspot1 much less efficiently.,Functional,"A dysfunctional isoform of ADARB1, which results from alternative skipping of the exon harboring two double-stranded RNA-binding domains, was found more frequently in postmortem cerebella from individuals with autism (Eran et al., 2012). This suggests that A-to-I editing of synaptic genes by ADARB1 may be informative for assessing the epigenetic risk for ASD.",5,0,,0,,22869036,,,"23275889,31452935,32220291,32719099"
ADCY3,adenylate cyclase 3,109,"AC-III, AC3",2,2p23.3,O60266,600291,This gene encodes adenylyl cyclase 3 which is a membrane-associated enzyme and catalyzes the formation of the secondary messenger cyclic adenosine monophosphate (cAMP).,Rare single gene variant,"Three de novo missense variants in the ADCY3 gene were identified in ASD probands from the Autism Sequencing Consortium in De Rubeis et al., 2014. A fourth de novo missense variant in this gene was identified by whole genome sequencing in an ASD proband as part of the MSSNG initiative in Yuen et al., 2017. Based on the discovery of four de novo missense variants in ASD cases, a z-score > 2.0 for missense mutations, and a higher-than expected mutation rate (a false discovery rate < 15%), ADCY3 was determined to be an ASD candidate gene in Yuen et al., 2017.",2,0,,0,,25363760,,28263302,
ADCY5,Adenylate cyclase 5,111,"AC5, FDFM",3,3q21.1,O95622,600293,"This gene encodes a member of the membrane-bound adenylyl cyclase enzymes. Adenylyl cyclases mediate G protein-coupled receptor signaling through the synthesis of the second messenger cAMP. Activity of the encoded protein is stimulated by the Gs alpha subunit of G protein-coupled receptors and is inhibited by protein kinase A, calcium and Gi alpha subunits.",Rare Single Gene variant,"De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)",6,0,,0,,22495309,,,"23160955,25533962,27824329,28333917,28831199"
ADK,adenosine kinase,132,AK,10,10q22.2,P55263,102750,"This gene encodes an enzyme which catalyzes the transfer of the gamma-phosphate from ATP to adenosine, thereby serving as a regulator of concentrations of both extracellular adenosine and intracellular adenine nucleotides. Adenosine has widespread effects on the cardiovascular, nervous, respiratory, and immune systems and inhibitors of the enzyme could play an important pharmacological role in increasing intravascular adenosine concentrations and acting as anti-inflammatory agents.",Rare Single Gene variant,"A rare mutation in the ADK gene has been identified with ASD (Najmabadi et al., 2011).",2,0,,0,,21937992,,,28940097
ADNP,Activity-dependent neuroprotector homeobox,23394,ADNP1,20,20q13.13,Q9H2P0,611386,"Potential transcription factor that may mediate some of the neuroprotective peptide VIP-associated effects involving normal growth and cancer proliferation. In brain, expression is stronger in the cerebellum and cortex regions.",Rare Single Gene variant,"Recurrent mutations in the ADNP gene have been identified in multiple individuals with ASD as described below. Two de novo frameshift variants in ADNP were identified in unrelated simplex ASD cases in two reports by O'Roak and colleagues in 2012 (PMIDs 22495309 and 23160955). An additional seven de novo LoF variants were identified in patients with ASD in Helsmoortel et al., 2014, giving a current total of nine de novo LoF variants in ADNP gene in ASD cases; the probability of detecting eight or more de novo truncating events in ADNP was given as P=2.65 x 10-18 in this report (PMID 24531329). Furthermore, the frequency of shared clinical characteristics in ASD cases with LoF variants in ADNP (intellectual disability, facial dysmorphisms) led Helsmoortel and colleagues to conclude that ADNP mutations resulted in an autism syndrome. Analysis of rare coding variation in 3,871 ASD cases and 9,937 ancestry-matched or paternal controls from the Autism Sequencing Consortium (ASC) in De Rubeis et al., 2014 identified ADNP as a gene meeting high statistical significance with a FDR  0.01, meaning that this gene had a  99% chance of being a true autism gene (PMID 25363760). This gene was identified in Iossifov et al. 2015 as a strong candidate to be an ASD risk gene based on a combination of de novo mutational evidence and the absence or very low frequency of mutations in controls (PMID 26401017).",43,0,,0,,22495309,,"24531329,25169753,25178163,25363760,25646590,26401017,29724491,31029150,31664177","23160955,25418537,25533962,26168855,26402605,26637798,26845707,27031564,27479843,27525107,27824329,27848944,28191889,28263302,28407407,28708303,29286531,29475819,29780943,29899371,30107084,30504930,30555518,30564305,30675382,31038196,31127536,31130284,31406558,31452935,31981491,32275126,32714933"
ADORA2A,adenosine A2a receptor,135,RDC8; hA2aR; ADORA2,22,22q11.23,P29274,102776,The encoded protein is a receptor subtypes for adenosine,Genetic association,"Genetic association has been found between the ADORA2A gene and autism in a Caucasian sample (Freitag et al., 2010).",7,0,,0,,19565319,"7953635,9262401","18184569,18832607,18953346,19443488",
ADORA3,Adenosine A3 receptor,140,"RP11-552M11.7, A3AR, AD026, bA552M11.5",1,1p13.2,P33765,600445,"This gene encodes a protein that belongs to the family of adenosine receptors, which are G-protein-coupled receptors that are involved in a variety of intracellular signaling pathways and physiological functions. The receptor encoded by this gene mediates a sustained cardioprotective function during cardiac ischemia, it is involved in the inhibition of neutrophil degranulation in neutrophil-mediated tissue injury, it has been implicated in both neuroprotective and neurodegenerative effects, and it may also mediate both cell proliferation and cell death.",Functional,"Sequencing of the ADORA3 gene in a case-control sample showed an overall increase in rare coding variants in ASD cases vs. controls (P=0.013); among the case-specific ADORA3 coding variants were two rare missense variants (Leu90Val and Val171Ile) that affected activity of SERT, the gene product of the ASD-associated gene SLC6A4 (Campbell et al., 2013).",2,0,,0,,23953133,,,21705486
ADRB2,"adrenergic, beta-2-, receptor, surface",154,"BAR, B2AR, ADRBR, ADRB2R, BETA2AR",5,5q32,P07550,109690,This gene encodes beta-2-adrenergic receptor which is a member of the G protein- coupled receptor superfamily.,Genetic Association,Studies have found genetic association between the ADRB2 gene and autism. Association was found in the AGRE cohort along with additional samples.,10,1,16417856,0,,17199132,"8837779,9363896","17175110,17179741,17952055,17962520,18485874,20805681",
ADSL,adenylosuccinate lyase,158,,22,22q13.1,P30566,608222,The encoded protein mediates de novo synthesis of purines and formation of adenosine monophosphate from inosine monophosphate.,Rare Single Gene variant,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. Rare mutations in the ADSL gene have been found. For example, one study (Sivendran et al., 2004) found an autistic individual with two heterozygous ADSL mutations.",6,0,,0,,15471876,"1302001,6150139",16403972,"26539891,29286531"
ADSS2,adenylosuccinate synthase 2,159,"ADEH, ADSS, ADSS 2",1,1q44,P30520,103060,This gene encodes the enzyme adenylosuccinate synthetase which catalyzes the first committed step in the conversion of inosine monophosphate to adenosine monophosphate.,Rare single gene variant,"A de novo splice-site variant in the ADSS2 gene (formerly known as ADSS) was identified in an ASD proband from the Autism Sequencing Consortium in De Rubeis et al., 2014, while a de novo missense variant in this gene was identified in a Canadian ASD proband in Tammimies et al., 2015.  TADA analysis of 4,504 ASD trios and 3,012 unaffected control/siblings trios from trio-based exome/genome sequencing studies identified ADSS2 as an ASD candidate gene with a q-value < 0.1 (Du et al., 2019).",3,0,,0,,25363760,,31332282,26325558
AFF2,"AF4/FMR2 family, member 2",2334,"FMR2, FMR2P, FRAXE, MRX2, OX19",X,Xq28,P51816,300806,This gene encodes a putative transcriptional activator that is a member of the AF4FMR2 gene family. This gene is associated with the folate-sensitive fragile X E locus on chromosome X. A repeat polymorphism in the fragile X E locus results in silencing of this gene causing Fragile X E syndrome. Fragile X E syndrome is a form of nonsyndromic X-linked mental retardation. Alternate splicing results in multiple transcript variants.,Syndromic,"Rare mutations in the AFF2 gene have been identified with autism and ADHD (Abrams et al., 1997) as well as with X-linked intellectual disability (XLID) (Stettner et al., 2011) and developmental and speech delay (Sahoo et al., 2011). In addition, this gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, a rare mutation in the AFF2 gene has been identified with fragile X syndrome (Moore et al., 1999).",15,0,,0,,9034011,,22773736,"10424820,21739600,22065534,22511880,23020937,23092983,23352160,23352163,23849776,25035088,26544041,28263302,30555518"
AFF4,"AF4/FMR2 family, member 4",27125,"HSPC092, AF5Q31, MCEF",5,5q31.1,Q9UHB7,604417,May play a role in transcriptional regulation,Rare Single Gene variant,"Rare mutations in the AFF4 gene have been identified with autism (O'Roak et al., 2011; Sanders et al., 2012).",7,0,,0,,22495306,10588740,"20159561,21330300,22528490,25730767,26938441",
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",116987,"AGAP-1,CENTG2, GGAP1, cnt-g2",2,2q37.2,Q9UPQ3,608651,This gene encodes a member of an ADP-ribosylation factor GTPase-activating protein family involved in membrane trafficking and cytoskeleton dynamics. This gene functions as a direct regulator of the adaptor-related protein complex 3 on endosomes.,"Rare Single Gene variant, Genetic Association","Rare variants in the AGAP1 gene have been identified with autism (Wassink et al., 2005).",8,0,,0,,15892143,12388557,"15381706,16332543,27713690","24410847,25363768,25533962"
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",116986,"CENTG1, GGAP2, PIKE",12,12q14.1,Q99490,605476,The protein encoded by this gene belongs to the centaurin gamma-like family. It mediates anti-apoptotic effects of nerve growth factor by activating nuclear phosphoinositide 3-kinase.,Rare single gene variant,"De novo missense variants in the AGAP2 gene have previously been identified in ASD cases (De Rubeis et al., 2014; Iossifov et al., 2014). An additional de novo missense variant in this gene was identified by whole genome sequencing in an ASD proband from a multiplex family as part of the MSSNG initiative in Yuen et al., 2017. Based on the discovery of multiple de novo missense variants in ASD cases, a z-score >2.0 for missense mutations, and a higher-than expected mutation rate (a false discovery rate < 15%), AGAP2 was determined to be an ASD candidate gene in Yuen et al., 2017.",4,0,,0,,25363760,,28263302,"25363768,30564305"
AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",729092,CTGLF2,10,10q22.2,A6NIR3,,Putative GTPase-activating protein.,Rare single gene variant,"Integration of familial whole-exome datasets of 3,531 individuals from 1,704 simplex ASD families and 50 multiplex ASD families and expression data from the BrainSpan Atlas of the Developmental Human Brain in Luo et al., 2020 identified a neurodevelopmentally co-regulated, sex-differentially expressed cluster of exons enriched with ASD-segregating deleterious variants in the AGAP5 gene (Bonferroni-corrected cluster P-value of 2.21E-03).",1,0,,0,,32778826,,,
AGBL4,ATP/GTP binding protein-like 4,84871,"RP11-342A17.1, CCP6",1,1p33,Q5VU57,,Metallocarboxypeptidase that mediates deglutamylation of target proteins such as tubulins and MYLK.,Rare Single Gene variant,"Rare deletions involving the AGBL4 gene have been identified in individuals with ASD (Pinto et al., 2010).",3,0,,0,,20531469,,,"23275889,23632794"
AGMO,alkylglycerol monooxygenase,392636,"tcag7.1136, TMEM195",7,7p21.2,Q6ZNB7,613738,"The protein encoded by this gene is a tetrahydrobiopterin- and iron-dependent enzyme that cleaves the ether bond of alkylglycerols. Sequence comparisons distinguish this protein as forming a third, distinct class of tetrahydrobiopterin-dependent enzymes.",Genetic Association,"A rare CNV in the AGMO (TMEM195) gene has been identified with autism in AGRE, NIMH and additional cohorts (Sebat et al., 2007).",7,0,,0,,17363630,,,"20797689,23275889,25363760,27667684,31398340,32372567"
AGO1,"argonaute 1, RISC catalytic component",26523,"EIF2C, EIF2C1, GERP95, Q99, hAgo1",1,1p34.3,Q9UL18,606228,"This gene encodes a member of the argonaute family of proteins, which associate with small RNAs and have important roles in RNA interference (RNAi) and RNA silencing. This protein binds to microRNAs (miRNAs) or small interfering RNAs (siRNAs) and represses translation of mRNAs that are complementary to them. It is also involved in transcriptional gene silencing (TGS) of promoter regions that are complementary to bound short antigene RNAs (agRNAs), as well as in the degradation of miRNA-bound mRNA targets.",Rare single gene variant,"De novo missense variants that were predicted in silico to be damaging were observed in the AGO1 gene in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014) and an ASD proband from a cohort of 262 Japanese trios (Takata et al., 2018). TADA-Denovo analysis using a combined dataset of previously published cohorts from the Simons Simplex Collection and the Autism Sequencing Consortium, as well as the Japanese ASD cohort from Takata et al., 2018, identified AGO1 as a gene significantly enriched in damaging de novo mutations in ASD cases (pBH < 0.05).",7,0,,0,,25363768,,"29346770,30213762","23020937,25356899,27620904,31038196"
AGO3,argonaute RISC catalytic component 3,192669,EIF2C3,1,1p34.3,Q9H9G7,607355,Required for RNA-mediated gene silencing (RNAi). Binds to short RNAs such as microRNAs (miRNAs) and represses the translation of mRNAs which are complementary to them.,Rare single gene variant,"De novo missense variants in the AGO3 gene have been identified in two probands with ASD (De Rubeis et al., 2014; Yuen et al., 2017) and one proband with an unspecified developmental disorder (Deciphering Developmental Disorders Study 2017).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified AGO3 as a gene with an excess of missense variants with CADD scores > 30 (false discovery rata < 5%, count >1) (Coe et al., 2018).",4,0,,0,,25363760,,30559488,"28135719,28263302"
AGO4,argonaute RISC catalytic component 4,192670,EIF2C4,1,1p34.3,Q9HCK5,607356,This gene encodes a member of the Argonaute family of proteins which contain PAZ and PIWI domains and play an integral role in RNA interference and short-interfering-RNA-mediated gene silencing.,Rare single gene variant,"De novo missense variants in the AGO4 gene have been identified in two ASD probands (De Rubeis et al., 2014).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified AGO4 as a gene with an excess of missense variants (false discovery rata < 5%, count >1); AGO4 was similarly identified as a gene with an excess of de novo missense variants (false discovery rata < 5%, count >1) following analysis of 5,624 cases with a primary diagnosis of ASD (Coe et al., 2018).",3,0,,0,,25363760,,30559488,31398340
AGTR2,"angiotensin II receptor, type 2",186,"AT2, ATGR2, MRX88",X,Xq23,P50052,300034,"The protein encoded by this gene is an integral membrane protein that belongs to the G-protein coupled receptor 1 family, and functions as a receptor for angiotensin II.",Rare Single Gene variant,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. Rare mutations in the AGTR2 gene have also been identified with mental retardation. These mutations included translocation, frameshift and missense variations.",5,0,,0,,12089445,,16769992,"22269148,31771860,32193494"
AHDC1,AT-hook DNA binding motif containing 1,27245,MRD25,1,1p36.11-p35.3,Q5TGY3,615790,"This gene encodes a protein containing two AT-hooks, which likely function in DNA binding. Mutations in this gene were found in individuals with Xia-Gibbs syndrome (OMIM 615829), a syndrome characterized by intellectual disability, expressive language delay, hypotonia, and obstructive sleep apnea (Xia et al., 2014).",Syndromic,"Novel de novo variants in the AHDC1 gene (one frameshift, one missense variant predicted to be benign) were identified in ASD probands from the Simons Simplex Collection in Iossifov et al., 2014. Exome sequencing of 2157 cases with intellectual disability or developmental delay in Yang et al., 2016 identified seven proband-patient trios with de novo AHDC1 variants; probands typically presented with developmental delay, intellectual disability, absent or limited speech, hypotonia, dysmorphic features, brain abnormalities, failure to thrive/feeding difficulties, and ataxia/gait abnormalities, and two of the seven probands were additionally diagnosed with autism based on DSM-IV or DSM-V criteria.",11,0,,0,,25363768,,"27148574,29696776","24791903,25574029,27479843,27841880,28554332,29158550,30152016,30622101"
AHI1,Abelson helper integration site 1,54806,ORF1; AHI-1; JBTS3; FLJ14023; FLJ20069; dJ71N10.1; DKFZp686J1653,6,6q23.3,Q8N157,608894,This gene is apparently required for both cerebellar and cortical development in humans. Mutations in this gene cause specific forms of Joubert syndrome-related disorders. It encodes a modular protein that contains one SH3 motif and seven WD40 repeats,Rare Single Gene variant,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, several studies have found genetic association and rare variants in the AHI1 gene that are associated with Joubert syndrome. In addition, genetic association between AHI1 and schizophrenia has been seen in a large European sample.",19,0,,0,,18782849,"15322546,15467982","16244321,18636121,18785627,18950740,20071346,20081859,20592197,21959375,22123816,23532844","23352163,24690944,25363768,25558065,28097321,31398340"
AKAP9,A kinase (PRKA) anchor protein 9,10142,"AKAP-9, AKAP350, AKAP450, CG-NAP, HYPERION, LQT11, MU-RMS-40.16A, PPP1R45, PRKA9, YOTIAO",7,7q21.2,Q99996,604001,"Binds to type II regulatory subunits of protein kinase A. Scaffolding protein that assembles several protein kinases and phosphatases on the centrosome and Golgi apparatus. May be required to maintain the integrity of the Golgi apparatus. Isoform4is associated with the N-methyl-D-aspartate receptor and is specifically found in the neuromuscular junction (NMJ) as well as in neuronal synapses, suggesting a role in the organization of postsynaptic specializations.",Rare single gene variant,"This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015); among the variants identified in this gene was one de novo loss-of-function (LoF) variant.",5,0,,0,,26402605,,,"25363760,25363768,27479843,31398340"
ALDH1A3,aldehyde dehydrogenase 1 family member A3,220,"ALDH1A6, ALDH6, RALDH3",15,15q26.3,P47895,600463,"This gene encodes an aldehyde dehydrogenase enzyme that uses retinal as a substrate. Mutations in this gene have been associated with microphthalmia, isolated 8.",Syndromic,"Homozygosity for one splice-site and two missense mutations in the ALDH1A3 gene was identified in three consanguineous families segregating with anophthalmia and microphthalmia (A/M); in one of these families, affected individuals with a homozygous missense variant in ALDH1A3 were also diagnosed with autism (Fares-Taie et al., 2013). However, in a report in which additional individuals with anophthalmia and microphthalmia (A/M) also presented with autistic features, the authors suggested that such features may be the result of social deprivation and inadequate parenting during early infancy, rather than ALDH1A3 mutations per se (Nur Semerci et al., 2014).",5,0,,1,24568872,23312594,,24024553,"23646827,25533962"
