"gene"	"pLI"	"intolerant"	"interaction_type"	"snp"	"log2_aFC"
"BRWD3"	1	"Intolerant"	"non-eQTL"	NA	NA
"C17orf104"	1	"Intolerant"	"non-eQTL"	NA	NA
"ATP2B1"	1	"Intolerant"	"non-eQTL"	NA	NA
"EIF4G2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF462"	1	"Intolerant"	"non-eQTL"	NA	NA
"WDR26"	1	"Intolerant"	"non-eQTL"	NA	NA
"CUL4B"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRIM33"	1	"Intolerant"	"non-eQTL"	NA	NA
"STXBP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TOPBP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NF2"	1	"Intolerant"	"non-eQTL"	NA	NA
"TET3"	1	"Intolerant"	"non-eQTL"	NA	NA
"MN1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"SUPT6H"	1	"Intolerant"	"non-eQTL"	NA	NA
"RP11-762I7.5"	1	"Intolerant"	"non-eQTL"	NA	NA
"NHS"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"RPS6KA3"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"MYT1L"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBP1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PLCL2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"SPTBN1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MYH9"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZDHHC5"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"LUC7L3"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"COPB2"	1	"Intolerant"	"non-eQTL"	NA	NA
"DNAJC14"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"RNF17"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANK3"	1	"Intolerant"	"non-eQTL"	NA	NA
"F8"	1	"Intolerant"	"non-eQTL"	NA	NA
"TM9SF3"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"DLG3"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"MGA"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANKRD52"	1	"Intolerant"	"non-eQTL"	NA	NA
"STAG2"	1	"Intolerant"	"non-eQTL"	NA	NA
"SATB2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"USP34"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAP3K2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PREX1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MED14"	1	"Intolerant"	"non-eQTL"	NA	NA
"CYFIP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF407"	1	"Intolerant"	"non-eQTL"	NA	NA
"KPNB1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ETV5"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"CUL2"	1	"Intolerant"	"non-eQTL"	NA	NA
"HNRNPM"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PIAS1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"DAAM2"	1	"Intolerant"	"non-eQTL"	NA	NA
"EFTUD2"	1	"Intolerant"	"non-eQTL"	NA	NA
"YTHDC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NCBP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TCF20"	1	"Intolerant"	"non-eQTL"	NA	NA
"DLL1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"UBR4"	1	"Intolerant"	"non-eQTL"	NA	NA
"STAT3"	1	"Intolerant"	"non-eQTL"	NA	NA
"IGF2BP3"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"NSD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SRCAP"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF777"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"HNRNPK"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"SCAF8"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARID2"	1	"Intolerant"	"non-eQTL"	NA	NA
"CCT3"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"COL5A2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PHC3"	1	"Intolerant"	"non-eQTL"	NA	NA
"GATAD2B"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"FBXO11"	1	"Intolerant"	"non-eQTL"	NA	NA
"NOTCH1"	1	"Intolerant"	"non-eQTL"	NA	NA
"COL3A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPP3CB"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"ILF3"	1	"Intolerant"	"non-eQTL"	NA	NA
"PLEKHA5"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF521"	1	"Intolerant"	"non-eQTL"	NA	NA
"TAB2"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"CTNND2"	1	"Intolerant"	"non-eQTL"	NA	NA
"DDX5"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"ACTN4"	1	"Intolerant"	"non-eQTL"	NA	NA
"UPF2"	1	"Intolerant"	"non-eQTL"	NA	NA
"CARM1"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"PAXIP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"BPTF"	1	"Intolerant"	"non-eQTL"	NA	NA
"EP300"	1	"Intolerant"	"non-eQTL"	NA	NA
"FBXL19"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"CREBRF"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"HDAC2"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"SP1"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"MAPK8IP2"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"AP2A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARCN1"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"SPTAN1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RPTOR"	1	"Intolerant"	"non-eQTL"	NA	NA
"CAND1"	1	"Intolerant"	"non-eQTL"	NA	NA
"COPS2"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"SALL4"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"CACNA1C"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARID1B"	1	"Intolerant"	"non-eQTL"	NA	NA
"PSMD2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PSMD3"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"KMT2D"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBAP2L"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF148"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"BTK"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"RRM1"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPP2R5E"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"RFX3"	1	"Intolerant"	"non-eQTL"	NA	NA
"BIRC6"	1	"Intolerant"	"non-eQTL"	NA	NA
"LMNB2"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"CLTC"	1	"Intolerant"	"non-eQTL"	NA	NA
"COPA"	1	"Intolerant"	"non-eQTL"	NA	NA
"COL1A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"DHX15"	1	"Intolerant"	"non-eQTL"	NA	NA
"DHX9"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZMYM3"	1	"Intolerant"	"non-eQTL"	NA	NA
"AGO2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANK2"	1	"Intolerant"	"non-eQTL"	NA	NA
"RALGAPB"	1	"Intolerant"	"non-eQTL"	NA	NA
"IPO7"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRPF19"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"SCAF4"	1	"Intolerant"	"non-eQTL"	NA	NA
"TBL1XR1"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"ZCCHC11"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZCCHC6"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANKRD11"	1	"Intolerant"	"non-eQTL"	NA	NA
"PAFAH1B1"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"ZEB2"	1	"Intolerant"	"non-eQTL"	NA	NA
"AP2A2"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMU1"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"NAA25"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"BAZ1B"	1	"Intolerant"	"non-eQTL"	NA	NA
"HNRNPH1"	0.99993	"Intolerant"	"non-eQTL"	NA	NA
"VPRBP"	1	"Intolerant"	"non-eQTL"	NA	NA
"CTIF"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"ABCB7"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"UTP15"	0.99993	"Intolerant"	"non-eQTL"	NA	NA
"SETBP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARID5B"	1	"Intolerant"	"non-eQTL"	NA	NA
"RBM10"	1	"Intolerant"	"non-eQTL"	NA	NA
"TPR"	1	"Intolerant"	"non-eQTL"	NA	NA
"RCOR1"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"SUFU"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"TRPS1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MTA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RUVBL2"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"EIF4G3"	1	"Intolerant"	"non-eQTL"	NA	NA
"MDM4"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"NTRK2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANKHD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANKHD1-EIF4EBP3"	1	"Intolerant"	"non-eQTL"	NA	NA
"RORB"	0.99991	"Intolerant"	"non-eQTL"	NA	NA
"TIAL1"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"NRXN3"	1	"Intolerant"	"non-eQTL"	NA	NA
"PTPRD"	1	"Intolerant"	"non-eQTL"	NA	NA
"WAPAL"	1	"Intolerant"	"non-eQTL"	NA	NA
"RBM26"	1	"Intolerant"	"non-eQTL"	NA	NA
"RIF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NLK"	0.99991	"Intolerant"	"non-eQTL"	NA	NA
"PHIP"	1	"Intolerant"	"non-eQTL"	NA	NA
"LPHN2"	1	"Intolerant"	"non-eQTL"	NA	NA
"DPYSL5"	0.99991	"Intolerant"	"non-eQTL"	NA	NA
"USP8"	1	"Intolerant"	"non-eQTL"	NA	NA
"TIPARP"	0.99991	"Intolerant"	"non-eQTL"	NA	NA
"ZBTB4"	0.99991	"Intolerant"	"non-eQTL"	NA	NA
"ISY1"	0.9999	"Intolerant"	"non-eQTL"	NA	NA
"HNRNPU"	1	"Intolerant"	"non-eQTL"	NA	NA
"TLK2"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRERF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"DHX30"	1	"Intolerant"	"non-eQTL"	NA	NA
"MYCBP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"FUBP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRIM24"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZC3H7A"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBXN7"	0.99988	"Intolerant"	"non-eQTL"	NA	NA
"SLC17A7"	0.99988	"Intolerant"	"non-eQTL"	NA	NA
"NOTCH2"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMARCC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RAI1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CSE1L"	1	"Intolerant"	"non-eQTL"	NA	NA
"EIF4A1"	0.99987	"Intolerant"	"non-eQTL"	NA	NA
"PIK3CA"	1	"Intolerant"	"non-eQTL"	NA	NA
"KIF5C"	1	"Intolerant"	"non-eQTL"	NA	NA
"REV3L"	1	"Intolerant"	"non-eQTL"	NA	NA
"AGPS"	1	"Intolerant"	"non-eQTL"	NA	NA
"ADAM10"	1	"Intolerant"	"non-eQTL"	NA	NA
"MED1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SMARCC2"	1	"Intolerant"	"non-eQTL"	NA	NA
"MYRF"	1	"Intolerant"	"non-eQTL"	NA	NA
"DOT1L"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHAF1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"PSMD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SRRM2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PIAS4"	0.99986	"Intolerant"	"non-eQTL"	NA	NA
"ACTR3"	0.99986	"Intolerant"	"non-eQTL"	NA	NA
"DDX3X"	0.99986	"Intolerant"	"non-eQTL"	NA	NA
"TSC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SON"	1	"Intolerant"	"non-eQTL"	NA	NA
"WHSC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TCEB3"	1	"Intolerant"	"non-eQTL"	NA	NA
"STAG1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ATRX"	1	"Intolerant"	"non-eQTL"	NA	NA
"VCPIP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"EIF4A3"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"MAU2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PSMC2"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"DAZAP1"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"POGZ"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRKAR1A"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"SF3A3"	1	"Intolerant"	"non-eQTL"	NA	NA
"FXR1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CDC42BPB"	1	"Intolerant"	"non-eQTL"	NA	NA
"XPO7"	1	"Intolerant"	"non-eQTL"	NA	NA
"RARB"	0.99983	"Intolerant"	"non-eQTL"	NA	NA
"RERE"	1	"Intolerant"	"Cis"	"rs301798"	0.589875682786242
"RERE"	1	"Intolerant"	"Cis"	"rs301799"	0.32950411407286
"ZMYND11"	1	"Intolerant"	"non-eQTL"	NA	NA
"RPL4"	0.99984	"Intolerant"	"non-eQTL"	NA	NA
"SUPT16H"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZBTB47"	0.99983	"Intolerant"	"non-eQTL"	NA	NA
"PRRC2C"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPFIA3"	1	"Intolerant"	"non-eQTL"	NA	NA
"ATP1A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KIF11"	1	"Intolerant"	"non-eQTL"	NA	NA
"NCOA2"	1	"Intolerant"	"non-eQTL"	NA	NA
"HIPK1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KIAA0430"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARMCX4"	1	"Intolerant"	"non-eQTL"	NA	NA
"KMT2C"	1	"Intolerant"	"non-eQTL"	NA	NA
"PIK3AP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SEMA4C"	1	"Intolerant"	"non-eQTL"	NA	NA
"CYTH1"	0.99981	"Intolerant"	"non-eQTL"	NA	NA
"RBM17"	0.99981	"Intolerant"	"non-eQTL"	NA	NA
"RTF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"IPO5"	1	"Intolerant"	"non-eQTL"	NA	NA
"NUP98"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRAF2"	0.99979	"Intolerant"	"non-eQTL"	NA	NA
"EIF4B"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"ADNP"	1	"Intolerant"	"non-eQTL"	NA	NA
"RET"	1	"Intolerant"	"non-eQTL"	NA	NA
"TEAD1"	0.9998	"Intolerant"	"non-eQTL"	NA	NA
"CCDC22"	0.99979	"Intolerant"	"non-eQTL"	NA	NA
"SHANK3"	1	"Intolerant"	"non-eQTL"	NA	NA
"CACNA1E"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRMT5"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"JADE3"	0.99978	"Intolerant"	"non-eQTL"	NA	NA
"WDR5"	0.99978	"Intolerant"	"non-eQTL"	NA	NA
"CUL4A"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PCLO"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF219"	0.99977	"Intolerant"	"non-eQTL"	NA	NA
"GAPVD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"EPC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KCNB1"	0.99977	"Intolerant"	"non-eQTL"	NA	NA
"NLGN2"	0.99974	"Intolerant"	"non-eQTL"	NA	NA
"PCDH19"	0.99975	"Intolerant"	"non-eQTL"	NA	NA
"DDX17"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"RB1"	1	"Intolerant"	"non-eQTL"	NA	NA
"WNK1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZC3H18"	1	"Intolerant"	"non-eQTL"	NA	NA
"CDK12"	1	"Intolerant"	"non-eQTL"	NA	NA
"HECTD4"	1	"Intolerant"	"non-eQTL"	NA	NA
"RALGPS1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"TNRC6C"	1	"Intolerant"	"non-eQTL"	NA	NA
"SCN2A"	1	"Intolerant"	"non-eQTL"	NA	NA
"SOBP"	0.99972	"Intolerant"	"non-eQTL"	NA	NA
"VCP"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"TLN1"	1	"Intolerant"	"non-eQTL"	NA	NA
"BTAF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"EPHA7"	1	"Intolerant"	"non-eQTL"	NA	NA
"COL4A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SIK3"	1	"Intolerant"	"non-eQTL"	NA	NA
"KAT6B"	1	"Intolerant"	"non-eQTL"	NA	NA
"KAT7"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"ZFR"	1	"Intolerant"	"non-eQTL"	NA	NA
"GSE1"	1	"Intolerant"	"non-eQTL"	NA	NA
"GSK3A"	0.9997	"Intolerant"	"non-eQTL"	NA	NA
"L1CAM"	1	"Intolerant"	"non-eQTL"	NA	NA
"CTNNB1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PBRM1"	1	"Intolerant"	"non-eQTL"	NA	NA
"PRICKLE1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PUM1"	1	"Intolerant"	"non-eQTL"	NA	NA
"AHCTF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"TNPO2"	1	"Intolerant"	"non-eQTL"	NA	NA
"AAK1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RASA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CDC5L"	1	"Intolerant"	"non-eQTL"	NA	NA
"FERMT2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"WTAP"	0.99966	"Intolerant"	"non-eQTL"	NA	NA
"UBR3"	1	"Intolerant"	"non-eQTL"	NA	NA
"SCN8A"	1	"Intolerant"	"non-eQTL"	NA	NA
"FNIP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"MSN"	0.99967	"Intolerant"	"non-eQTL"	NA	NA
"PPP1R12A"	1	"Intolerant"	"non-eQTL"	NA	NA
"RANBP9"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"USP47"	1	"Intolerant"	"non-eQTL"	NA	NA
"CCDC88A"	1	"Intolerant"	"non-eQTL"	NA	NA
